Prompt,Description,WER,DNSMOS,Recognized Text,Audio File
The quick brown fox jumps over the lazy dog.,Jenny speaks dryly and without emotion.,0.1111111111111111,3.725620908299349,the quick brown fox jumps over the lazy dog,generated_audio/custom_audio_The quick brown fox jumps over the lazy dog._Jenny speaks dryly and without emotion..wav
The quick brown fox jumps over the lazy dog.,"Jenny speaks slowly and carefully, emphasizing each word.",0.1111111111111111,3.844461559197384,the quick brown fox jumps over the lazy dog,"generated_audio/custom_audio_The quick brown fox jumps over the lazy dog._Jenny speaks slowly and carefully, emphasizing each word..wav"
The quick brown fox jumps over the lazy dog.,Jenny speaks very emotionally and loudly,0.0,3.582198795314906,the quick brown fox jumps over the lazy dog.,generated_audio/custom_audio_The quick brown fox jumps over the lazy dog._Jenny speaks very emotionally and loudly.wav
The quick brown fox jumps over the lazy dog.,"Jenny speaks quickly and fluently, as if narrating an urgent message.",0.1111111111111111,3.6168127193084594,the quick brown fox jumps over the lazy dog,"generated_audio/custom_audio_The quick brown fox jumps over the lazy dog._Jenny speaks quickly and fluently, as if narrating an urgent message..wav"
"‘What time is it?’ she asked. ‘It’s almost noon,’ he replied.",Jenny speaks dryly and without emotion.,0.8181818181818182,3.6258914696748024,"he he, what time is it? she asked. it could be almost noon.","generated_audio/custom_audio_‘What time is it?’ she asked. ‘It’s almost noon,’ he replied._Jenny speaks dryly and without emotion..wav"
"‘What time is it?’ she asked. ‘It’s almost noon,’ he replied.","Jenny speaks slowly and carefully, emphasizing each word.",1.1818181818181819,3.761725799665185,"what time is it? ay, yi, yi. it's all peace. ay, then it's almost noon.","generated_audio/custom_audio_‘What time is it?’ she asked. ‘It’s almost noon,’ he replied._Jenny speaks slowly and carefully, emphasizing each word..wav"
"‘What time is it?’ she asked. ‘It’s almost noon,’ he replied.",Jenny speaks very emotionally and loudly,0.7272727272727273,3.3703814188646994,what time is it? frequency is almost noon.,"generated_audio/custom_audio_‘What time is it?’ she asked. ‘It’s almost noon,’ he replied._Jenny speaks very emotionally and loudly.wav"
"‘What time is it?’ she asked. ‘It’s almost noon,’ he replied.","Jenny speaks quickly and fluently, as if narrating an urgent message.",0.36363636363636365,3.836459736087711,"what time is it? she asked. it's almost noon, he replied.","generated_audio/custom_audio_‘What time is it?’ she asked. ‘It’s almost noon,’ he replied._Jenny speaks quickly and fluently, as if narrating an urgent message..wav"
Wow! I can’t believe you did that! You’re absolutely amazing!,Jenny speaks dryly and without emotion.,0.5,3.8057884491418976,"wow, i can't believe you did that. you're absolutely amazing.",generated_audio/custom_audio_Wow! I can’t believe you did that! You’re absolutely amazing!_Jenny speaks dryly and without emotion..wav
Wow! I can’t believe you did that! You’re absolutely amazing!,"Jenny speaks slowly and carefully, emphasizing each word.",0.3,3.725329560678679,wow! i can believe you did that! you silly amazing!,"generated_audio/custom_audio_Wow! I can’t believe you did that! You’re absolutely amazing!_Jenny speaks slowly and carefully, emphasizing each word..wav"
Wow! I can’t believe you did that! You’re absolutely amazing!,Jenny speaks very emotionally and loudly,0.7,3.7692068529819123,i can't believe you did that. you so look amazing.,generated_audio/custom_audio_Wow! I can’t believe you did that! You’re absolutely amazing!_Jenny speaks very emotionally and loudly.wav
Wow! I can’t believe you did that! You’re absolutely amazing!,"Jenny speaks quickly and fluently, as if narrating an urgent message.",0.6,3.814582521230813,"laura, i can believe you did that. you were amazing.","generated_audio/custom_audio_Wow! I can’t believe you did that! You’re absolutely amazing!_Jenny speaks quickly and fluently, as if narrating an urgent message..wav"
Peter Piper picked a peck of pickled peppers.,Jenny speaks dryly and without emotion.,0.0,3.6058598253213896,peter piper picked a peck of pickled peppers.,generated_audio/custom_audio_Peter Piper picked a peck of pickled peppers._Jenny speaks dryly and without emotion..wav
Peter Piper picked a peck of pickled peppers.,"Jenny speaks slowly and carefully, emphasizing each word.",0.0,3.681535656940312,peter piper picked a peck of pickled peppers.,"generated_audio/custom_audio_Peter Piper picked a peck of pickled peppers._Jenny speaks slowly and carefully, emphasizing each word..wav"
Peter Piper picked a peck of pickled peppers.,Jenny speaks very emotionally and loudly,0.0,3.7698914905272294,peter piper picked a peck of pickled peppers.,generated_audio/custom_audio_Peter Piper picked a peck of pickled peppers._Jenny speaks very emotionally and loudly.wav
Peter Piper picked a peck of pickled peppers.,"Jenny speaks quickly and fluently, as if narrating an urgent message.",0.0,3.7485095389758167,peter piper picked a peck of pickled peppers.,"generated_audio/custom_audio_Peter Piper picked a peck of pickled peppers._Jenny speaks quickly and fluently, as if narrating an urgent message..wav"
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,Jenny speaks dryly and without emotion.,0.3076923076923077,3.8734953925207565,"how much wood would a woodchuck, if a woodchuck could chuck?",generated_audio/custom_audio_How much wood would a woodchuck chuck if a woodchuck could chuck wood?_Jenny speaks dryly and without emotion..wav
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,"Jenny speaks slowly and carefully, emphasizing each word.",0.0,3.7752471821631644,how much wood would a woodchuck chuck if a woodchuck could chuck wood?,"generated_audio/custom_audio_How much wood would a woodchuck chuck if a woodchuck could chuck wood?_Jenny speaks slowly and carefully, emphasizing each word..wav"
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,Jenny speaks very emotionally and loudly,0.0,3.8139284033855025,how much wood would a woodchuck chuck if a woodchuck could chuck wood?,generated_audio/custom_audio_How much wood would a woodchuck chuck if a woodchuck could chuck wood?_Jenny speaks very emotionally and loudly.wav
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,"Jenny speaks quickly and fluently, as if narrating an urgent message.",0.07692307692307693,3.835054056096955,how much wood would a woodchuck if a woodchuck could chuck wood?,"generated_audio/custom_audio_How much wood would a woodchuck chuck if a woodchuck could chuck wood?_Jenny speaks quickly and fluently, as if narrating an urgent message..wav"
"To be, or not to be, that is the question.",Jenny speaks dryly and without emotion.,0.3,3.680606310718642,who be or not to be? that is the question.,"generated_audio/custom_audio_To be, or not to be, that is the question._Jenny speaks dryly and without emotion..wav"
"To be, or not to be, that is the question.","Jenny speaks slowly and carefully, emphasizing each word.",0.1,3.7518045689379385,"to be or not to be, that is the question.","generated_audio/custom_audio_To be, or not to be, that is the question._Jenny speaks slowly and carefully, emphasizing each word..wav"
"To be, or not to be, that is the question.",Jenny speaks very emotionally and loudly,0.1,3.618956030053733,"to be or not to be, that is the question.","generated_audio/custom_audio_To be, or not to be, that is the question._Jenny speaks very emotionally and loudly.wav"
"To be, or not to be, that is the question.","Jenny speaks quickly and fluently, as if narrating an urgent message.",0.1,3.5588484880780507,"to be or not to be, that is the question.","generated_audio/custom_audio_To be, or not to be, that is the question._Jenny speaks quickly and fluently, as if narrating an urgent message..wav"
"As the sun set over the hills, casting a golden glow across the valley, the children laughed and played, their voices echoing through the serene evening air.",Jenny speaks dryly and without emotion.,0.37037037037037035,3.8316674548227336,"as the sun set over the hill, casting a golden glow across the valley, the children laughed and played.","generated_audio/custom_audio_As the sun set over the hills, casting a golden glow across the valley, the children laughed and played, their voices echoing through the serene evening air._Jenny speaks dryly and without emotion..wav"
"As the sun set over the hills, casting a golden glow across the valley, the children laughed and played, their voices echoing through the serene evening air.","Jenny speaks slowly and carefully, emphasizing each word.",0.0,3.9003040407073724,"as the sun set over the hills, casting a golden glow across the valley, the children laughed and played, their voices echoing through the serene evening air.","generated_audio/custom_audio_As the sun set over the hills, casting a golden glow across the valley, the children laughed and played, their voices echoing through the serene evening air._Jenny speaks slowly and carefully, emphasizing each word..wav"
"As the sun set over the hills, casting a golden glow across the valley, the children laughed and played, their voices echoing through the serene evening air.",Jenny speaks very emotionally and loudly,0.0,3.9323149623008207,"as the sun set over the hills, casting a golden glow across the valley, the children laughed and played, their voices echoing through the serene evening air.","generated_audio/custom_audio_As the sun set over the hills, casting a golden glow across the valley, the children laughed and played, their voices echoing through the serene evening air._Jenny speaks very emotionally and loudly.wav"
"As the sun set over the hills, casting a golden glow across the valley, the children laughed and played, their voices echoing through the serene evening air.","Jenny speaks quickly and fluently, as if narrating an urgent message.",0.0,3.8928966992151617,"as the sun set over the hills, casting a golden glow across the valley, the children laughed and played, their voices echoing through the serene evening air.","generated_audio/custom_audio_As the sun set over the hills, casting a golden glow across the valley, the children laughed and played, their voices echoing through the serene evening air._Jenny speaks quickly and fluently, as if narrating an urgent message..wav"
